ball,bowler_batsman,result,commentary,length,line
11.1,"Natarajan to Harris, (no ball) FOUR runs",5nb,"lovely piece of timing, angled outside leg stump and Harris clips it strongly behind square...and it's a no-ball",Unknown,Leg Stump
10.6,"Siraj to Warner, no run",â€¢,"full at off stump, finds the middle as he plays it back to the bowler",Full,Off Stump
10.5,"Siraj to Warner, no run",â€¢,"full at middle, defended to mid-on",Full,Middle Stump
10.4,"Siraj to Warner, no run",â€¢,"short of a length outside off, a short-arm jab-pull finds mid-on",Good,Outside Off
10.3,"Siraj to Warner, no run",â€¢,angled across outside off and moves further away as Warner leaves alone,Unknown,Outside Off
10.2,"Siraj to Warner, no run",â€¢,"short of a length at off stump, Warner on his toes and pushes towards point",Good,Outside Off
10.1,"Siraj to Warner, no run",â€¢,"full outside off, allows it to go through",Full,Outside Off
9.6,"Natarajan to Harris, no run",â€¢,"full, wide outside off, left alone. A maiden",Full,Outside Off
9.5,"Natarajan to Harris, no run",â€¢,"full, pushed down the leg side, Harris can't catch up with it",Full,Leg Stump
9.4,"Natarajan to Harris, no run",â€¢,"good area, full outside off, hint of shape and left alone",Full,Outside Off
9.3,"Natarajan to Harris, no run",â€¢,"wider outside off, left alone",Unknown,Outside Off
9.2,"Natarajan to Harris, no run",â€¢,"another edge, but well short of third slip...back of a length at off stump, draws an uncertain push from Harris",Good,Outside Off
9.1,"Natarajan to Harris, no run",â€¢,"full at off stump, defended to mid-on",Full,Off Stump
8.6,"Siraj to Warner, no run",â€¢,"back of a length outside off, left alone",Good,Outside Off
8.5,"Siraj to Warner, 2 runs",2,"short of a length on leg stump, gets inside the line and works into square leg...Siraj chased that himself!",Good,Leg Stump
8.4,"Siraj to Warner, FOUR runs",4,"edged, over second slip! Going Australia's way this morning. This leapt from short of a length outside off, Warner sparred at it and the edge flew just out of reach of a leaping Rohit",Good,Outside Off
8.3,"Siraj to Warner, no run",â€¢,"pushed wider outside the off stump, through to the keeper",Unknown,Outside Off
8.2,"Siraj to Warner, no run",â€¢,"angled across, left alone",Unknown,Unknown
8.1,"Siraj to Warner, no run",â€¢,"full outside off, left alone",Full,Outside Off
7.6,"Natarajan to Harris, no run",â€¢,"drags the length back further outside off, hint of swing, left alone",Good,Outside Off
7.5,"Natarajan to Harris, FOUR runs",4,super shot! Gets forward and punches on the up straight of mid-off...that's textbook from Harris,Unknown,Off Stump
7.4,"Natarajan to Harris, no run",â€¢,"full outside off, gets forward and punches to mid-on",Full,Outside Off
7.3,"Natarajan to Harris, FOUR runs",4,"edged, through the slips! That was an excellent delivery, angled in at off stump then held its line, takes the outside edge but doesn't reach Rohit or Pujara on the full",Full,Outside Off
7.2,"Natarajan to Harris, no run",â€¢,"shorter, 129kph, left alone",Short,Unknown
7.1,"Natarajan to Harris, no run",â€¢,"full outside off, left alone",Full,Outside Off
6.6,"Siraj to Warner, no run",â€¢,"back of a length at middle and off, defended",Good,Off Stump
6.5,"Siraj to Warner, no run",â€¢,"that's a good one...short of a length at middle and off, moves away late to beat the outside edge",Good,Off Stump
6.4,"Siraj to Warner, no run",â€¢,"pulls the length back, outside off, left alone",Good,Outside Off
6.3,"Siraj to Warner, FOUR runs",4,"bang! Warner is away for the day. Long half volley from Siraj, he gets forward and drills it straight of mid-off",Unknown,Off Stump
6.2,"Siraj to Warner, no run",â€¢,"short of a length on off stump, defended towards point",Good,Outside Off
6.1,"Siraj to Warner, no run",â€¢,"beaten first ball! Back of a length, angled across and nips off the seam, Warner feeling for it away from his body",Good,Off Stump
5.6,"Natarajan to Harris, no run",â€¢,"full, swinging away in the corridor, left alone",Full,Outside Off
5.5,"Natarajan to Warner, 1 run",1,"back of a length on middle and off, clipped to the left of wide mid-on/straight midwicket",Good,Outside Off
5.4,"Natarajan to Warner, no run",â€¢,"back of a length, too far outside off to make Warner play. He's getting a lot more swing when his line is wide of off stump, frustratingly for him",Good,Outside Off
5.3,"Natarajan to Warner, no run",â€¢,"length ball close to off stump, a hint of away shape, blocked back to the bowler",Good,Off Stump
5.2,"Natarajan to Warner, no run",â€¢,"length ball on off stump, gets back and across to defend down the pitch",Good,Off Stump
5.1,"Natarajan to Warner, no run",â€¢,"back of a length on off stump, stays leg-side of the ball and defends into the covers",Good,Outside Off
4.6,"Sundar to Harris, no run",â€¢,"once again short and wide, the turn makes Warner check his cut and play it watchfully to backward point",Full,Outside Off
4.5,"Sundar to Harris, no run",â€¢,"flat on middle and off, goes back to block it back to the bowler",Good,Off Stump
4.4,"Sundar to Warner, 3 runs",3,"once again short, closer to off stump this time, and Warner leans back to late-cut fine of backward point",Short,Outside Off
4.3,"Sundar to Warner, no run",â€¢,"short, spinning away into a wide line, reaches out and chops to backward point",Short,Outside Off
4.2,"Sundar to Warner, no run",â€¢,"a little slower, angling into middle and off, stretches out to block into the on side",Unknown,Off Stump
4.1,"Sundar to Warner, no run",â€¢,"flat length ball on off stump, blocked back down the pitch",Good,Off Stump
3.6,"Natarajan to Warner, 3 runs",3,"ooh, good ball. Full, swinging away in the fifth-stump channel. It's full enough to make Warner want to drive through the covers, but he doesn't get a front-foot stride in, and ends up slicing it wide of gully",Full,Outside Off
3.5,"Natarajan to Warner, no run",â€¢,"full, angling down leg, can't put bat to ball as he looks to tickle it away",Full,Leg Stump
3.4,"Natarajan to Harris, 1 run",1,"fullish, angling into middle stump, clipped to the left of square leg",Full,Middle Stump
3.3,"Natarajan to Harris, no run",â€¢,"shortish, angling into the hip, clipped watchfully to square leg",Full,Leg Stump
3.2,"Natarajan to Harris, no run",â€¢,"length ball straightening towards off stump, good stride forward to block into the on side of the pitch",Good,Off Stump
3.1,"Natarajan to Harris, no run",â€¢,"length ball, curling away in the fifth-stump channel, left alone",Good,Unknown
2.6,"Siraj to Warner, no run",â€¢,"back of a length, angling into off stump, defended to midwicket",Good,Off Stump
2.5,"Siraj to Warner, FOUR runs",4,"hat-trick of fours. Short, just outside off, but that's enough width for Warner, deft hands to cut it between gully and point",Short,Outside Off
2.4,"Siraj to Warner, FOUR runs",4,"shot. Length ball close to off stump, and he gets his weight forward, moving into a firm push to the left of mid-off",Good,Off Stump
2.3,"Siraj to Warner, FOUR runs",4,"just a touch short on off stump, and Warner pounces, meeting the ball well in front of his body to pull wide of mid-on",Good,Outside Off
2.2,"Siraj to Warner, no run",â€¢,"and again, good line if you're looking to play on the patience of a team that wants to force a win. Pitching just outside off and continuing to slant away, asking the batsman if he wants to drive away from his body. Left alone",Unknown,Outside Off
2.1,"Siraj to Warner, no run",â€¢,"length ball, pitching on or around off and slanting away, left alone",Good,Off Stump
1.6,"Natarajan to Harris, no run",â€¢,"back of a length outside off, left alone. Some swing on this one too",Good,Outside Off
1.5,"Natarajan to Warner, 1 run",1,"full, fifth-stump line, a bit of swing, Warner gets a big stride out and pushes into the covers. Thakur runs to his right from extra-cover/wide mid-off, picks up, spins, and throws at the non-striker's end, and a direct hit could have had the diving Warner in trouble. Nervy-looking single",Full,Outside Off
1.4,"Natarajan to Warner, no run",â€¢,"too wide once again. Impressive swing and carry, but he's not found his radar yet",Unknown,Outside Off
1.3,"Natarajan to Warner, no run",â€¢,and again. He needs to get closer to off stump to get that swing to bother Warner,Unknown,Off Stump
1.2,"Natarajan to Warner, no run",â€¢,"and again, swing away from the left-hander, but the initial line is a little too wide to make him play",Unknown,Outside Off
1.1,"Natarajan to Warner, no run",â€¢,"Fullish, finds some swing away from Warner, but starts too wide to make him play. Similar start to the first innings",Full,Outside Off
0.6,"Siraj to Harris, no run",â€¢,"length ball angling away from off stump, left alone",Good,Off Stump
0.5,"Siraj to Harris, no run",â€¢,"full, down the leg side, can't connect with the flick",Full,Leg Stump
0.4,"Siraj to Harris, no run",â€¢,"fuller now, slanting into a wide-ish line outside off, inviting the drive. Left alone",Full,Outside Off
0.3,"Siraj to Harris, no run",â€¢,"back of a length on off stump, defended to short cover",Good,Outside Off
0.2,"Siraj to Harris, no run",â€¢,"back of a length, angling across to off stump, hops across and defends into the on side",Good,Off Stump
0.1,"Siraj to Harris, no run",â€¢,"full, slanting away from off stump, left alone",Full,Off Stump
