ball,bowler_batsman,result,commentary,length,line
40.1,"Hazlewood to Rahane, no run",â€¢,"short of a length, nips back and takes the thigh pad",Good,Leg Stump
39.6,"Lyon to Agarwal, no run",â€¢,"this is fuller, Agarwal gets right across his crease as he stretches forward to defend",Full,Unknown
39.5,"Lyon to Agarwal, no run",â€¢,hint of turn from outside off but he's able to defend on the back foot,Unknown,Outside Off
39.4,"Lyon to Rahane, 3 runs",3,"wider outside off, more nicely placement from Rahane as he square drives through point",Unknown,Outside Off
39.3,"Lyon to Rahane, no run",â€¢,"touch short, defends on the back foot",Short,Unknown
39.2,"Lyon to Rahane, no run",â€¢,worked off the pads to backward square,Unknown,Off Stump
39.1,"Lyon to Rahane, no run",â€¢,plays back and pushes to the on side,Unknown,Unknown
38.6,"Hazlewood to Agarwal, no run",â€¢,"back of a length, angling in, defended to the on side",Good,Unknown
38.5,"Hazlewood to Pujara, OUT",W,"edged, gone! Hazlewood does it. That's a cracker, in the channel at off stump, the ball that has done for Pujara a few times this series. Angles in at off stump then straightens a fraction. Not much he could have done. Huge moment",Unknown,Off Stump
38.4,"Hazlewood to Pujara, no run",â€¢,"short outside off, left well alone",Short,Outside Off
38.3,"Hazlewood to Pujara, no run",â€¢,"good length outside off, 139kph, defended",Good,Outside Off
38.2,"Hazlewood to Pujara, no run",â€¢,"good follow-up, fuller outside off, plays with an open face towards the slips",Full,Outside Off
38.1,"Hazlewood to Pujara, no run",â€¢,"loops safe! Got into a tangle against the short ball. Angling in at Pujara who tries to sway out of the line, can't get the bat and gloves out of the line. Doesn't carry to gully",Short,Outside Off
37.6,"Lyon to Rahane, no run",â€¢,"straighter delivery, defended towards cover",Good,Outside Off
37.5,"Lyon to Rahane, FOUR runs",4,"short outside off, he rocks back and square drives to the point fence. Nice footwork",Short,Outside Off
37.4,"Lyon to Rahane, no run",â€¢,"wide line outside off, Rahane uses his feet and plays square into the off side",Unknown,Outside Off
37.3,"Lyon to Rahane, no run",â€¢,"short of a length, played to the on side",Good,Unknown
37.2,"Lyon to Pujara, 3 runs",3,taken from outside off behind square on the leg side,Unknown,Outside Off
37.1,"Lyon to Pujara, no run",â€¢,"comes down the pitch straightaway, flicks into the on side",Unknown,Unknown
36.6,"Hazlewood to Rahane, no run",â€¢,"gets onto the front foot again, pushes into the covers",Good,Outside Off
36.5,"Hazlewood to Rahane, no run",â€¢,"good length, touch wider outside off, he's forward and defends to point",Good,Outside Off
36.4,"Hazlewood to Rahane, no run",â€¢,"full at off stump, 137kph, defended back to the bowler",Full,Off Stump
36.3,"Hazlewood to Pujara, 1 run",1,"a shorter delivery, tapped square into the off side",Short,Off Stump
36.2,"Hazlewood to Pujara, no run",â€¢,"this time gets a slightly bigger stride into the ball, defends to the off side",Unknown,Off Stump
36.1,"Hazlewood to Pujara, no run",â€¢,"starts with a beauty! Full at off stump, nibbles off the seam to beat the outside edge",Full,Off Stump
35.6,"Starc to Pujara, 3 runs",3,"full at off stump, solidly pushed straight of mid-off, a long chase down the ground for Wade",Full,Off Stump
35.5,"Starc to Pujara, no run",â€¢,"shorter outside off, cut towards point, Starc immediately turns and looks at the bowling crease",Short,Outside Off
35.4,"Starc to Pujara, no run",â€¢,"pushed across full outside off, left alone",Full,Outside Off
35.3,"Starc to Pujara, no run",â€¢,"full at middle and off, 141kph, defended to mid-off",Full,Off Stump
35.2,"Starc to Pujara, no run",â€¢,"full outside off, he's reaching for this drive a little, away from his body, but connects nicely, mid-off is able to intercept",Full,Outside Off
35.1,"Starc to Pujara, no run",â€¢,"over the wicket, full outside off, this one doesn't quite reach Paine on the full",Full,Outside Off
34.6,"Cummins to Pujara, 1 bye",1b,"a short one outside off, almost evades Paine again but he manages to get a glove on it to prevent another set of four byes",Short,Outside Off
34.5,"Cummins to Pujara, no run",â€¢,"full outside off, defended",Full,Outside Off
34.4,"Cummins to Pujara, no run",â€¢,"nips back from short of a length, takes him high on the pad",Good,Leg Stump
34.3,"Cummins to Rahane, 3 runs",3,top shot! That made a lovely sound off the bat. Stands tall and punches off the back foot through the covers...doesn't quite reach the rope,Good,Outside Off
34.2,"Cummins to Pujara, 1 run",1,"pushes a short-of-a-length delivery towards point, well-judged single",Good,Outside Off
34.1,"Cummins to Pujara, no run",â€¢,"short of a length, takes his bottom hand off the bat to keep this down in front of short leg",Good,Off Stump
33.6,"Starc to Rahane, 2 runs",2,"full at the stumps, some nice whippage from Rahane and he sends it well in front of square",Full,Unknown
33.5,"Starc to Rahane, no run",â€¢,"over the wicket, back of a length at off stump, defended",Good,Off Stump
33.4,"Starc to Pujara, 1 run",1,tucked off the pads wide of leg slip down to fine leg,Unknown,Outside Off
33.3,"Starc to Pujara, FOUR runs",4,"goes after a short one, did very well to get this wide of gully, rode the bounce and square cut it down to wide third man. Very nicely played",Short,Outside Off
33.2,"Starc to Pujara, no run",â€¢,"short of a length outside off, 141kph, left alone...it hasn't really swung for Starc",Good,Outside Off
33.1,"Starc to Pujara, no run",â€¢,"round the wicket, full at the stumps, worked into midwicket",Full,Unknown
32.6,"Cummins to Rahane, no run",â€¢,"a touch uncertain as he defends, takes a thick inside edge to the on side",Unknown,Unknown
32.5,"Cummins to Rahane, no run",â€¢,"back of a length at off stump, defended to point",Good,Outside Off
32.4,"Cummins to Rahane, 4 byes",4b,"very short outside off and it keeps climbing, so much so that Paine can't reach it with a leap",Short,Outside Off
32.3,"Cummins to Rahane, no run",â€¢,"fuller outside off, raises the bat high out of the way",Full,Outside Off
32.2,"Cummins to Rahane, no run",â€¢,"short of a length outside off, stays back and defends to the off side",Good,Outside Off
32.1,"Cummins to Rahane, no run",â€¢,"full at middle and off, sweetly pushed to mid-on",Full,Off Stump
31.6,"Starc to Pujara, no run",â€¢,"short from round the wicket, pushed down the leg side, Pujara just watches it go through",Short,Leg Stump
31.5,"Starc to Pujara, no run",â€¢,"on off stump, short of a length, defended",Good,Off Stump
31.4,"Starc to Pujara, no run",â€¢,"angled into the body, back of a length, worked into midwicket",Good,Unknown
31.3,"Starc to Pujara, FOUR runs",4,"round the wicket, short outside off, a superb back-foot square drive finds the deep point fence",Short,Outside Off
31.2,"Starc to Rahane, 1 run",1,"full at off stump, gets a good stride forward and a defensive push runs straight of mid-off",Full,Off Stump
31.1,"Starc to Rahane, FOUR runs",4,"edged, through the slips again!  It's going Rahane's way so far...full outside off, pushing with hard hands, scoots between third slip and gully and perfect catching height",Full,Outside Off
30.6,"Cummins to Pujara, no run",â€¢,"short of a length outside off, through to the keeper. Good contest",Good,Outside Off
30.5,"Cummins to Pujara, no run",â€¢,"just back of a length, angling in towards off stump, left on length as much as line",Good,Off Stump
30.4,"Cummins to Pujara, no run",â€¢,"full at off stump, 142kph, defended",Full,Off Stump
30.3,"Cummins to Pujara, no run",â€¢,"right on the spot, good length angling in at off stump, Pujara comes half forward and defends with a slightly open face",Good,Off Stump
30.2,"Cummins to Pujara, no run",â€¢,"good length outside off, left alone",Good,Outside Off
30.1,"Cummins to Pujara, no run",â€¢,"a short delivery, defended on the back foot with the bottom hand coming off the bat",Short,Off Stump
29.6,"Starc to Rahane, no run",â€¢,"angled across, nothing come back yet, left alone",Unknown,Unknown
29.5,"Starc to Rahane, no run",â€¢,pushed wider outside off,Unknown,Outside Off
29.4,"Starc to Rahane, no run",â€¢,"angled across, full outside off at 140kph, left alone",Full,Outside Off
29.3,"Starc to Rahane, no run",â€¢,back to a far more controlled leave to a very similar delivery,Unknown,Unknown
29.2,"Starc to Rahane, FOUR runs",4,"edged, flies wide of gully! Starc gets him to reach for one, nowhere in control, the thick edge just evades the long reach of a diving Green",Unknown,Outside Off
29.1,"Starc to Rahane, no run",â€¢,"over the wicket now, full and wide outside off, left alone",Full,Outside Off
28.6,"Cummins to Pujara, no run",â€¢,"short of a length at middle and off, defended down into the leg side",Good,Off Stump
28.5,"Cummins to Pujara, no run",â€¢,"shorter, angled in at the hip, flicked past short leg",Short,Leg Stump
28.4,"Cummins to Pujara, no run",â€¢,"at off stump, just back of a length, defended with those trademark soft hands",Good,Off Stump
28.3,"Cummins to Pujara, no run",â€¢,"well bowled, extra lift from a good length outside off, a well-judged leave",Good,Outside Off
28.2,"Cummins to Rahane, 1 run",1,"a shorter delivery, at the body, Rahane swivels on a pull to deep square leg",Short,Leg Stump
28.1,"Cummins to Rahane, no run",â€¢,defended on the front foot to the covers,Good,Outside Off
27.6,"Starc to Pujara, no run",â€¢,"full at off stump, 143kph, defended with bat and pad together",Full,Off Stump
27.5,"Starc to Pujara, no run",â€¢,"good length outside off, comes in with the angle from round the wicket but Pujara is able to leave",Good,Outside Off
27.4,"Starc to Pujara, no run",â€¢,"fuller, outside off, left alone",Full,Outside Off
27.3,"Starc to Pujara, no run",â€¢,"goes quite wide on the crease, it's short of a length and defended on his toes",Good,Outside Off
27.2,"Starc to Pujara, no run",â€¢,"good length at middle and off, defended to mid-on",Good,Off Stump
27.1,"Starc to Pujara, no run",â€¢,"short of a length, in at middle and leg, defended towards short leg",Good,Middle Stump
26.6,"Cummins to Rahane, no run",â€¢,"full at off stump, 139kph, defended into the covers",Full,Outside Off
